이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
홍창기,23  RF,1.03,643,1,0.332,0.444,0.412,7.91,30000
김혜성,23  2B,0.8,621,7,0.335,0.396,0.446,6.98,42000
노시환,23  3B,0.51,595,31,0.298,0.388,0.541,6.82,13100
양의지,23  C,1.09,510,17,0.305,0.396,0.474,6.1,30000
오스틴,23  1B,-0.94,583,23,0.313,0.376,0.517,5.74,40000
박민우,23  2B,1.28,509,2,0.316,0.381,0.405,5.25,110000
이정후,23  CF,1.56,387,6,0.318,0.406,0.455,5.18,110000
오지환,23  SS,1.72,502,8,0.268,0.371,0.396,5.14,60000
정수빈,23  CF,0.81,583,2,0.287,0.375,0.371,4.87,60000
최정,23  3B,-0.91,552,29,0.297,0.388,0.548,4.85,100000
알포드,23  LF,0.74,547,15,0.289,0.356,0.456,4.82,100000
박해민,23  CF,2.21,558,6,0.285,0.348,0.359,4.8,60000
문성주,23  LF,0.64,534,2,0.294,0.392,0.372,4.76,9500
박찬호,23  SS,1.67,507,3,0.301,0.356,0.378,4.71,20000
손아섭,23  DH,-0.82,609,5,0.339,0.393,0.443,4.62,50000
소크라테스,23  CF,0.49,608,20,0.285,0.344,0.463,4.6,50000
문보경,23  3B,-0.2,542,10,0.301,0.377,0.448,4.45,17000
박성한,23  SS,2.13,529,9,0.266,0.347,0.366,4.36,27000
박병호,23  1B,0.54,493,18,0.283,0.357,0.443,4.15,70000
에레디아,23  LF,-0.35,523,12,0.323,0.385,0.461,4.11,90000
유강남,23  C,2.2,403,10,0.261,0.342,0.384,4.09,60000
최형우,23  DH,-1.36,508,17,0.302,0.4,0.487,3.93,90000
박건우,23  RF,-1.1,533,12,0.319,0.397,0.48,3.92,90000
최재훈,23  C,1.76,417,1,0.248,0.392,0.294,3.9,80000
김도영,23  3B,0.57,385,7,0.303,0.371,0.453,3.88,5000
김민혁,23  RF,1.17,448,3,0.297,0.356,0.385,3.85,4500
전준우,23  DH,-1.46,559,17,0.312,0.381,0.471,3.79,50000
이진영,23  RF,0.81,422,10,0.249,0.344,0.394,3.6,3900
장성우,23  C,1.07,464,11,0.288,0.351,0.422,3.43,50000
양석환,23  1B,-0.3,582,21,0.281,0.333,0.454,3.33,40000
김재호,23  SS,0.92,302,3,0.283,0.376,0.372,3.3,50000
마틴,23  CF,-0.13,503,17,0.283,0.36,0.455,3.28,72000
황재균,23  3B,0.25,457,6,0.295,0.366,0.413,3.24,100000
이재현,23  SS,1.41,538,12,0.249,0.33,0.378,2.98,6000
박동원,23  C,-0.21,481,20,0.249,0.334,0.443,2.92,30000
서호철,23  3B,1.1,435,5,0.287,0.331,0.383,2.85,4500
김선빈,23  2B,-0.07,473,0,0.32,0.381,0.358,2.69,45000
이우성,23  RF,-0.05,400,8,0.301,0.363,0.417,2.66,5500
강민호,23  C,-0.48,495,16,0.29,0.366,0.445,2.61,60000
노진혁,23  SS,0.75,390,4,0.257,0.347,0.377,2.56,50000
김상수,23  SS,0.39,512,3,0.271,0.353,0.339,2.53,11000
김지찬,23  2B,-0.16,355,1,0.292,0.408,0.33,2.46,16000
로하스,23  LF,-1.71,464,19,0.253,0.345,0.474,2.41,85000
도태훈,23  3B,0.59,302,5,0.234,0.376,0.322,2.38,5000
채은성,23  1B,-1.88,596,23,0.263,0.351,0.428,2.36,180000
허경민,23  3B,0.79,475,7,0.268,0.328,0.375,2.35,120000
이도윤,23  SS,1.7,346,1,0.252,0.302,0.317,2.27,3400
김주원,23  SS,0.8,474,10,0.233,0.328,0.34,2.22,9000
김현수,23  DH,-1.14,556,6,0.293,0.364,0.383,2.19,100000
권희동,23  LF,-0.61,373,7,0.285,0.388,0.405,2.18,9000
안치홍,23  2B,-0.77,494,8,0.292,0.374,0.4,1.99,50000
강승호,23  2B,0.09,459,7,0.265,0.316,0.387,1.98,20000
송성문,23  3B,0.4,438,5,0.263,0.325,0.358,1.95,12000
박승욱,23  2B,0.06,338,0,0.286,0.364,0.369,1.92,7000
김민성,23  2B,0.89,316,8,0.249,0.326,0.377,1.92,18000
안권수,23  LF,0.67,309,2,0.269,0.341,0.321,1.84,8000
배정대,23  CF,0.14,361,2,0.277,0.356,0.347,1.82,34000
김민식,23  C,1.46,318,5,0.218,0.302,0.316,1.7,15000
김성현,23  2B,0.64,354,1,0.268,0.328,0.323,1.55,15000
최지훈,23  CF,-0.12,503,2,0.268,0.315,0.357,1.55,30000
추신수,23  DH,-1.36,462,12,0.254,0.379,0.398,1.46,170000
신민재,23  2B,0.46,331,0,0.277,0.344,0.309,1.43,4800
김현준,23  CF,-0.13,479,3,0.275,0.327,0.346,1.24,8000
김휘집,23  SS,-0.95,435,8,0.249,0.338,0.374,1.12,7400
최주환,23  2B,-0.73,478,20,0.235,0.31,0.432,1.04,65000
정은원,23  2B,0.45,459,2,0.222,0.333,0.268,1.03,21800
오재일,23  1B,0.73,364,11,0.203,0.302,0.356,0.99,50000
윤동희,23  RF,-0.33,423,2,0.287,0.333,0.354,0.88,3300
피렐라,23  LF,-3.01,605,16,0.285,0.339,0.425,0.7,120000
김태군,23  C,0.47,346,1,0.257,0.305,0.305,0.59,20000
오태곤,23  1B,-0.47,305,7,0.239,0.293,0.375,0.56,10000
김재환,23  DH,-1.17,484,10,0.22,0.343,0.331,0.48,150000
류지혁,23  3B,-1.07,522,2,0.268,0.34,0.31,0.38,15500
한유섬,23  RF,-1.45,388,7,0.273,0.355,0.393,0.35,50000
고승민,23  1B,-0.52,308,2,0.224,0.331,0.318,0.27,7300
김인환,23  1B,-0.25,365,7,0.225,0.301,0.338,0.23,6400
문상철,23  DH,-0.86,330,9,0.26,0.298,0.414,0.11,5600
이형종,23  RF,-1.12,374,3,0.215,0.326,0.32,-0.21,12000
이정후,22  CF,0.38,627,23,0.349,0.421,0.575,8.89,75000
김혜성,22  2B,2.69,566,4,0.318,0.373,0.403,7.11,32000
오지환,22  SS,2.12,569,25,0.269,0.357,0.47,6.99,60000
박성한,22  SS,3.3,564,2,0.298,0.375,0.374,6.87,14000
박해민,22  CF,3.06,636,3,0.289,0.347,0.368,6.52,60000
최지훈,22  CF,2.12,640,10,0.304,0.362,0.427,6.49,15000
피렐라,22  LF,-1.57,630,28,0.342,0.411,0.565,6.23,60000
최정,22  3B,0.44,505,26,0.266,0.386,0.505,5.71,120000
양의지,22  C,0.54,510,20,0.283,0.38,0.48,5.31,100000
박병호,22  1B,0.63,487,35,0.275,0.349,0.559,5.19,60000
문보경,22  3B,0.54,466,9,0.315,0.382,0.451,4.93,6800
김현수,22  LF,-0.8,604,23,0.286,0.375,0.473,4.81,4000
소크라테스,22  CF,-0.21,554,17,0.311,0.354,0.494,4.54,50000
김주원,22  SS,2.83,326,10,0.223,0.331,0.388,4.29,6000
박동원,22  C,1.15,447,18,0.242,0.334,0.436,4.21,31000
박찬호,22  SS,1.37,566,4,0.272,0.344,0.341,4.1,12000
터크먼,22  CF,-0.61,648,12,0.289,0.366,0.43,4.06,70000
홍창기,22  RF,0.24,525,1,0.286,0.39,0.355,4.0,32000
박건우,22  CF,-0.59,463,10,0.336,0.408,0.458,3.95,190000
조용호,22  RF,0.7,531,3,0.308,0.374,0.382,3.92,24000
장성우,22  C,1.21,420,18,0.26,0.353,0.439,3.85,50000
김지찬,22  2B,1.51,429,0,0.28,0.361,0.332,3.79,11000
이대호,22  DH,-2.04,591,23,0.331,0.379,0.502,3.68,80000
문성주,22  DH,0.19,390,6,0.303,0.401,0.422,3.62,4200
강승호,22  2B,1.23,487,10,0.264,0.31,0.399,3.56,11500
푸이그,22  RF,-1.66,547,21,0.277,0.367,0.474,3.52,70000
김선빈,22  2B,-0.06,587,3,0.287,0.373,0.35,3.35,45000
최형우,22  DH,-0.82,530,14,0.264,0.366,0.421,3.3,90000
최재훈,22  C,2.14,437,5,0.223,0.339,0.302,3.25,100000
손아섭,22  RF,0.14,617,4,0.277,0.347,0.367,3.08,150000
유강남,22  C,1.06,469,8,0.255,0.326,0.351,3.07,27000
배정대,22  CF,0.26,575,6,0.266,0.339,0.356,2.97,26000
안치홍,22  2B,-1.46,562,14,0.284,0.354,0.436,2.87,100000
정은원,22  2B,-0.93,601,8,0.274,0.377,0.368,2.8,19080
김재환,22  LF,-1.22,517,23,0.248,0.34,0.46,2.75,150000
박민우,22  2B,0.56,451,4,0.267,0.351,0.359,2.72,41000
송성문,22  3B,1.15,601,13,0.247,0.302,0.371,2.71,7500
이지영,22  C,1.93,450,2,0.267,0.303,0.331,2.64,30000
김현준,22  CF,0.03,422,0,0.275,0.365,0.35,2.53,3300
이창진,22  LF,-0.41,404,7,0.301,0.374,0.402,2.47,7000
알포드,22  LF,-0.63,323,14,0.286,0.362,0.509,2.43,47700
오재일,22  1B,-0.85,536,21,0.268,0.345,0.491,2.42,60000
김인환,22  1B,0.32,429,16,0.261,0.305,0.417,2.42,3200
