이름,연도,이닝,ERA,FIP,WHIP,war,연봉
페디,23  P,180.1,2.0,2.22,0.95,7.95,80000
후라도,23  P,183.2,2.65,3.15,1.12,7.12,85000
안우진,23  P,150.2,2.39,2.33,1.06,6.86,35000
뷰캐넌,23  P,188.0,2.54,3.05,1.15,6.31,110000
고영표,23  P,174.2,2.78,3.19,1.15,5.91,43000
알칸타라,23  P,192.0,2.67,3.38,1.07,5.79,50000
반즈,23  P,170.1,3.28,3.4,1.33,5.74,85000
박세웅,23  P,154.0,3.45,3.62,1.32,4.63,3600
플럿코,23  P,123.1,2.41,3.14,1.18,4.58,80000
쿠에바스,23  P,114.1,2.6,2.78,1.04,4.57,45000
김광현,23  P,168.1,3.53,4.19,1.38,4.48,100000
원태인,23  P,150.0,3.24,4.17,1.27,4.48,35000
곽빈,23  P,127.1,2.9,3.96,1.21,4.36,14000
페냐,23  P,177.1,3.6,4.06,1.17,4.20,55000
브랜든,23  P,104.2,2.49,3.16,1.05,3.61,23000
엘리아스,23  P,131.1,3.7,4.09,1.32,3.54,54000
양현종,23  P,171.0,3.58,3.7,1.34,3.54,50000
켈리,23  P,178.2,3.83,3.49,1.24,3.41,105000
임찬규,23  P,144.2,3.42,4.16,1.35,3.40,17000
나균안,23  P,130.1,3.8,3.51,1.4,3.40,10900
맥카티,23  P,130.0,3.39,3.63,1.3,3.38,60000
최원태,23  P,146.2,4.3,3.89,1.33,3.20,35000
백정현,23  P,100.2,3.67,3.91,1.29,3.09,40000
윌커슨,23  P,79.2,2.26,2.61,1.09,3.03,25000
문동주,23  P,118.2,3.72,3.65,1.31,2.96,3300
엄상백,23  P,111.2,3.63,3.36,1.16,2.91,20000
벤자민,23  P,160.0,3.54,3.14,1.21,2.90,100000
서진용,23  P,73.0,2.59,4.27,1.53,2.84,26500
이의리,23  P,131.2,3.96,3.63,1.49,2.78,15000
수아레즈,23  P,108.0,3.92,3.12,1.49,2.52,90000
산체스,23  P,126.0,3.79,3.92,1.3,2.51,25000
류진욱,23  P,67.0,2.15,3.24,1.09,2.36,7500
함덕주,23  P,55.2,1.62,2.69,0.97,2.35,10000
윤영철,23  P,122.2,4.04,4.55,1.4,2.27,3000
주현상,23  P,59.2,1.96,3.25,0.84,2.21,5800
김재윤,23  P,65.2,2.6,2.4,1.02,2.05,36000
김진성,23  P,70.1,2.18,3.9,0.95,2.03,20000
백승현,23  P,40.0,1.58,3.89,1.15,2.02,4600
박영현,23  P,75.1,2.75,2.65,1.14,1.98,6100
배제성,23  P,130.1,4.49,4.76,1.7,1.95,20000
태너,23  P,64.2,2.92,3.81,1.1,1.94,15000
최승용,23  P,111.0,3.97,4.03,1.35,1.94,6000
