이름,손잡이,나이,연봉,war
우규민,우,39,25000,0.15
홍정우,우,28,6300,-0.33
최지광,우,26,14000,-0.12
김대우,우,36,7000,0.29
이승현,우,33,8000,0.05
김태훈,우,32,7800,0.0
노건우,좌,35,4800,-0.18
이재익,좌,30,5700,0.29
와이드너,우,30,59800,1.71
황동재,우,23,4100,-0.07
이병헌,우,25,3100,-0.08
강민호,우,39,60000,2.61
김재성,우,28,7500,0.27
이재현,우,21,6000,2.98
김호재,우,29,5600,-0.2
이성규,우,31,4500,-0.03
안주형,우,31,3800,-0.36
류지혁,우,30,15500,0.38
오재일,좌,38,50000,0.99
김동엽,우,34,9000,0.03
김현준,좌,22,8000,1.24
윤대경,우,30,9000,1.08
김기중,좌,22,3600,0.67
류희운,우,29,3300,-0.06
페냐,우,34,55000,4.2
이민우,우,31,5100,0.16
장시환,우,37,28000,0.52
박윤철,우,28,3400,-0.09
산체스,좌,27,40000,2.51
장민재,우,34,11500,0.05
이태양,우,34,66000,1.44
김범수,좌,29,14100,0.17
정우람,좌,39,50000,0.26
박상원,우,30,13300,-0.18
주현상,우,32,5800,2.21
최재훈,우,35,80000,3.9
박상언,우,27,3600,-0.3
오선진,우,35,10000,0.02
이도윤,우,28,3400,2.27
박정현,우,23,4200,-0.33
김인환,우,30,6400,0.23
정은원,우,24,21800,1.03
윌리엄스,좌,31,25000,-0.81
이명기,좌,37,5000,-0.29
최인호,우,24,3800,1.49
이진영,우,27,3900,3.6
이원석,우,25,20000,-0.99
문성현,우,33,7000,-0.02
김재웅,좌,26,22000,1.25
양현,우,32,8500,-0.56
임창민,우,39,10000,1.26
김선기,우,33,7300,-0.48
하영민,우,29,6500,-0.44
후라도,우,28,85000,7.12
이명종,우,22,4500,0.14
김재현,우,31,6500,-0.55
김태진,우,29,12000,0.04
김주형,우,28,5500,-0.73
전병우,우,32,8000,-0.05
송성문,우,28,12000,1.95
임지열,우,29,5000,0.45
김휘집,우,22,7400,1.12
이주형,우,23,3700,0.0
도슨,우,29,8500,1.75
박찬혁,우,21,4200,-0.45
예진원,좌,25,3900,-0.42
김진욱,좌,22,5600,-0.07
한현희,우,31,20000,0.95
최준용,우,23,15800,1.55
김도규,우,26,9500,0.21
반즈,좌,29,85000,5.74
신정락,우,37,7000,-0.1
김원중,우,31,25200,1.36
심재민,좌,30,8300,1.03
윤명준,우,35,6000,-0.65
윌커슨,우,35,25000,3.03
정성종,우,29,3600,0.15
유강남,우,32,60000,4.09
이정훈,우,30,4000,0.49
구드럼,우,32,40000,0.14
이학주,우,34,7200,0.0
전준우,우,38,50000,3.79
정훈,우,37,30000,0.22
안치홍,우,34,50000,1.99
한동희,우,25,19260,-2.48
노진혁,우,35,50000,2.56
박승욱,우,32,7000,1.92
안권수,우,31,8000,1.84
황성빈,우,27,7200,0.4
장두성,우,25,3800,0.15
김동혁,좌,24,6500,-0.46
윤영철,좌,20,3000,2.27
임기영,우,31,15000,1.54
윤중현,우,29,7900,0.24
이준영,좌,32,14000,0.68
김승현,우,32,4500,0.13
박준표,우,32,10500,0.01
파노니,좌,30,35000,1.73
이의리,좌,22,15000,2.78
장현식,우,29,19000,0.25
전상현,우,28,13500,1.44
양현종,좌,36,50000,3.54
정해영,우,23,23000,1.06
산체스,우,30,40000,2.51
김대유,좌,33,16000,-0.03
한승택,우,30,8000,-0.45
김태군,우,35,20000,0.59
한준수,우,25,3100,0.63
박찬호,우,29,20000,4.71
김선빈,우,35,45000,2.69
김도영,우,21,5000,3.88
김규성,우,27,4500,0.86
최정용,우,28,4000,0.34
변우혁,우,24,3500,-0.28
박정우,좌,26,3600,0.25
이우성,우,30,5500,2.66
김호령,우,32,7000,0.9
소크라테스,좌,32,50000,4.6
김석환,좌,25,3500,-0.4
고종욱,우,35,7000,1.29
이창진,우,33,14000,1.94
박치국,우,26,10500,0.5
홍건희,우,32,30000,0.84
김강률,우,36,20000,0.4
장원준,좌,39,5000,0.1
이병헌,좌,21,3100,-0.08
김동주,우,22,3100,1.81
알칸타라,우,32,50000,5.79
김명신,우,31,14500,0.95
브랜든,좌,30,23000,3.61
이영하,우,27,12000,-0.31
박정수,우,28,4500,0.05
최원준,우,30,33000,1.23
최승용,좌,23,6000,1.94
정철원,우,25,10000,-0.05
박신지,우,25,3600,-0.04
안승한,우,32,4500,-0.41
장승현,우,30,6000,-0.93
양의지,우,37,30000,6.1
이유찬,우,26,6000,1.43
박준영,우,27,6000,1.88
박지훈,우,24,3600,-0.17
박계범,우,28,9700,-0.06
김민혁,우,28,15000,3.85
강승호,우,30,20000,1.98
김재호,우,39,50000,3.3
양석환,우,33,40000,3.33
로하스,우,31,85000,2.41
정수빈,좌,34,60000,4.87
김인태,좌,30,10000,0.38
조수행,우,31,7800,0.49
태너,좌,30,15000,1.94
송명기,우,24,13000,0.86
페디,우,31,80000,7.95
최성영,좌,27,7200,0.94
이용찬,우,35,40000,0.72
임정호,좌,34,9000,0.18
하준영,좌,25,7500,0.16
류진욱,우,28,7500,2.36
이우석,우,28,3300,0.03
이용준,우,22,3500,0.36
이재학,우,34,20000,1.16
