이름,연도,팀,연봉,war
오승환,2023,삼성,140000,0.77
피렐라,2023,삼성,120000,0.7
뷰캐넌,2023,삼성,110000,6.31
수아레즈,2023,삼성,90000,2.52
강민호,2023,삼성,60000,2.61
와이드너,2023,삼성,59800,1.71
오재일,2023,삼성,50000,0.99
백정현,2023,삼성,40000,3.09
원태인,2023,삼성,35000,4.48
우규민,2023,삼성,25000,0.15
김태훈,2023,삼성,18000,-0.62
김지찬,2023,삼성,16000,2.46
류지혁,2023,삼성,15500,0.38
강한울,2023,삼성,15000,-0.16
최채흥,2023,삼성,15000,0.21
최지광,2023,삼성,14000,-0.12
김헌곤,2023,삼성,12000,-0.18
이승현,2023,삼성,12000,0.55
김동엽,2023,삼성,9000,0.03
장필준,2023,삼성,8000,-0.26
이승현,2023,삼성,8000,0.05
김현준,2023,삼성,8000,1.24
이상민,2023,삼성,7500,-0.2
김재성,2023,삼성,7500,0.27
김대우,2023,삼성,7000,0.29
홍정우,2023,삼성,6300,-0.33
문용익,2023,삼성,6300,0.23
이재현,2023,삼성,6000,2.98
이재익,2023,삼성,5700,0.29
김호재,2023,삼성,5600,-0.2
최충연,2023,삼성,5500,-0.09
허윤동,2023,삼성,5400,-0.15
김민수,2023,삼성,5200,-0.03
최형우,2023,KIA,90000,3.93
나성범,2023,KIA,80000,3.68
앤더슨,2023,KIA,60000,1.34
양현종,2023,KIA,50000,3.54
소크라테스,2023,KIA,50000,4.6
김선빈,2023,KIA,45000,2.69
파노니,2023,KIA,35000,1.73
메디나,2023,KIA,30000,-0.07
산체스,2023,KIA,25000,0.12
정해영,2023,KIA,23000,1.06
최원준,2023,KIA,22000,0.82
김태군,2023,KIA,20000,0.59
박찬호,2023,KIA,20000,4.71
장현식,2023,KIA,19000,0.25
김대유,2023,KIA,16000,-0.03
임기영,2023,KIA,15000,1.54
이의리,2023,KIA,15000,2.78
이준영,2023,KIA,14000,0.68
이창진,2023,KIA,14000,1.94
전상현,2023,KIA,13500,1.44
황대인,2023,KIA,13000,-0.22
박준표,2023,KIA,10500,0.01
한승택,2023,KIA,8000,-0.45
윤중현,2023,KIA,7900,0.24
김호령,2023,KIA,7000,0.9
고종욱,2023,KIA,7000,1.29
김재열,2023,KIA,6000,-0.37
이우성,2023,KIA,5500,2.66
허경민,2023,두산,120000,2.35
로하스,2023,두산,85000,2.41
정수빈,2023,두산,60000,4.87
알칸타라,2023,두산,50000,5.79
김재호,2023,두산,50000,3.3
딜런,2023,두산,45000,-0.08
