이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
손아섭,23  DH,-0.82,609,5,0.339,0.393,0.443,4.62,50000
박성한,23  SS,2.13,529,9,0.266,0.347,0.366,4.36,27000
이도윤,23  SS,1.7,346,1,0.252,0.302,0.317,2.27,3400
김민성,23  2B,0.89,316,8,0.249,0.326,0.377,1.92,18000
박준영,23  3B,1.23,138,4,0.228,0.29,0.417,1.88,6000
김민식,23  C,1.46,318,5,0.218,0.302,0.316,1.7,15000
김성현,23  2B,0.64,354,1,0.268,0.328,0.323,1.55,15000
이유찬,23  2B,0.9,239,1,0.243,0.316,0.31,1.43,6000
강백호,23  DH,-0.32,271,8,0.265,0.347,0.416,0.98,29000
김호령,23  CF,1.23,107,0,0.179,0.25,0.253,0.9,7000
최원준,23  1B,-0.54,274,1,0.255,0.341,0.331,0.82,22000
오윤석,23  1B,0.05,223,4,0.251,0.313,0.387,0.76,12000
김준태,23  C,0.25,136,3,0.209,0.326,0.322,0.72,10000
조수행,23  RF,0.49,249,1,0.219,0.298,0.251,0.49,7800
최정원,23  2B,0.12,56,0,0.26,0.315,0.4,0.47,6600
송민섭,23  RF,0.55,25,0,0.13,0.2,0.13,0.42,6500
김강민,23  CF,0.0,166,2,0.226,0.335,0.292,0.41,16000
김인태,23  RF,-0.06,115,1,0.255,0.36,0.337,0.38,10000
최정용,23  2B,0.33,41,0,0.167,0.211,0.194,0.34,4000
안재석,23  SS,0.34,68,1,0.188,0.221,0.297,0.25,5300
정훈,23  1B,-1.3,233,6,0.279,0.358,0.438,0.22,30000
송승환,23  LF,0.11,76,0,0.229,0.27,0.3,0.22,3500
강진성,23  1B,-0.02,145,3,0.261,0.306,0.388,0.2,8000
장준원,23  SS,0.41,104,1,0.172,0.277,0.253,0.16,5000
신본기,23  SS,0.0,75,1,0.204,0.365,0.296,0.15,13000
이재원,23  LF,-0.16,129,4,0.214,0.295,0.366,0.15,10000
안익훈,23  RF,-0.01,23,0,0.318,0.348,0.364,0.12,5100
지시완,23  C,0.21,10,0,0.125,0.125,0.125,0.1,7600
김태진,23  3B,-0.16,212,0,0.275,0.292,0.3,0.04,12000
조형우,23  C,0.46,133,2,0.185,0.24,0.286,0.04,3200
오선진,23  SS,-0.38,199,0,0.23,0.342,0.267,0.02,10000
이해승,23  3B,0.03,4,0,0.25,0.25,0.5,0.01,4200
김찬형,23  3B,-0.06,53,1,0.229,0.275,0.354,0.0,5000
이상민,23  P,0.0,1,0,0.0,0.0,0.0,-0.02,7500
김민수,23  C,0.0,1,0,0.0,0.0,0.0,-0.03,5200
이성규,23  CF,0.28,162,1,0.207,0.259,0.31,-0.03,4500
이병규,23  1B,0.05,17,0,0.235,0.235,0.235,-0.04,3500
전병우,23  1B,0.02,75,1,0.145,0.274,0.242,-0.05,8000
김준완,23  LF,-0.02,225,0,0.222,0.315,0.259,-0.05,9000
박유연,23  C,-0.09,16,0,0.267,0.267,0.4,-0.06,3300
장지승,23  LF,-0.01,3,0,0.0,0.0,0.0,-0.06,3200
박계범,23  SS,0.18,194,2,0.219,0.286,0.29,-0.06,9700
송준석,23  DH,-0.02,8,0,0.25,0.25,0.25,-0.07,4500
김병희,23  3B,0.08,9,0,0.0,0.111,0.0,-0.07,4700
권민석,23  SS,-0.02,2,0,0.0,0.0,0.0,-0.08,3100
서예일,23  2B,-0.01,10,0,0.222,0.2,0.222,-0.09,3400
김건웅,23  1B,0.0,3,0,0.0,0.0,0.0,-0.09,3000
노수광,23  LF,-0.11,94,0,0.221,0.326,0.286,-0.12,10900
김민혁,23  1B,-0.02,36,0,0.138,0.25,0.172,-0.14,4500
이상호,23  2B,-0.05,60,0,0.148,0.179,0.167,-0.17,7000
박지훈,23  1B,-0.04,21,0,0.211,0.286,0.263,-0.17,3600
한석현,23  LF,0.2,66,0,0.2,0.25,0.217,-0.18,3900
김헌곤,23  LF,-0.09,4,0,0.0,0.0,0.0,-0.18,12000
