이름,연도,이닝,ERA,FIP,WHIP,war,연봉
후라도,23  P,183.2,2.65,3.15,1.12,7.12,85000
엘리아스,23  P,131.1,3.7,4.09,1.32,3.54,54000
양현종,23  P,171.0,3.58,3.7,1.34,3.54,50000
백정현,23  P,100.2,3.67,3.91,1.29,3.09,40000
김재윤,23  P,65.2,2.6,2.4,1.02,2.05,36000
김원중,23  P,63.2,2.97,2.37,1.19,1.36,25200
김재웅,23  P,59.2,4.22,3.52,1.34,1.25,22000
이재학,23  P,67.1,4.54,5.06,1.31,1.16,20000
정해영,23  P,49.1,2.92,4.25,1.48,1.06,23000
한현희,23  P,104.0,5.45,4.97,1.61,0.95,20000
구승민,23  P,63.2,3.96,3.66,1.48,0.90,24860
이정용,23  P,86.2,4.15,3.84,1.37,0.87,24000
이준영,23  P,33.2,3.21,3.74,1.46,0.68,14000
이승현,23  P,60.0,3.6,3.81,1.38,0.55,12000
최동환,23  P,42.1,3.19,4.41,1.39,0.52,10500
최민준,23  P,60.0,4.2,4.68,1.57,0.28,13000
윤중현,23  P,28.0,3.86,5.09,1.39,0.24,7900
박민호,23  P,10.0,0.9,3.78,1.5,0.24,9500
문용익,23  P,13.0,4.15,4.88,1.54,0.23,6300
김도규,23  P,29.2,4.55,3.52,1.42,0.21,9500
최채흥,23  P,63.1,6.68,5.12,1.67,0.21,15000
임정호,23  P,50.0,4.68,3.42,1.36,0.18,9000
김범수,23  P,62.1,4.19,3.93,1.56,0.17,14100
하준영,23  P,49.0,4.59,3.65,1.45,0.16,7500
이민우,23  P,13.2,2.63,4.94,1.02,0.16,5100
윤정현,23  P,6.0,1.5,6.12,1.83,0.13,4500
김승현,23  P,12.2,4.26,6.1,1.66,0.13,4500
맥키니,23  P,59.1,6.52,6.14,1.63,0.11,10000
이상영,23  P,11.0,3.27,6.04,1.82,0.11,5000
이승호,23  P,5.0,5.4,8.21,1.8,0.09,12800
이민석,23  P,1.1,0.0,4.3,0.75,0.09,4100
장민재,23  P,69.0,4.83,4.83,1.46,0.05,11500
서동민,23  P,1.0,0.0,10.65,3.0,0.05,6000
이승현,23  P,43.1,4.98,5.51,1.62,0.05,12000
송승기,23  P,1.0,0.0,6.95,2.0,0.04,3500
하준수,23  P,1.0,0.0,7.55,2.0,0.04,3100
유승철,23  P,1.0,0.0,6.95,1.0,0.04,3800
김민규,23  P,8.1,4.32,4.58,1.2,0.04,5500
윤호솔,23  P,3.2,2.45,3.66,1.64,0.04,8700
이우석,23  P,0.2,0.0,8.5,1.5,0.03,3300
류원석,23  P,2.0,4.5,4.15,0.5,0.02,3500
박준표,23  P,28.0,4.5,4.96,1.32,0.01,10500
조현우,23  P,3.0,6.0,5.08,2.67,0.01,7600
김준형,23  P,7.2,7.04,5.86,1.3,0.00,4200
하준호,23  P,13.0,4.15,6.27,1.85,0.00,4500
한두솔,23  P,1.0,9.0,5.05,2.0,0.00,3100
김영준,23  P,0.1,27.0,13.15,6.0,-0.01,3800
박세진,23  P,11.2,3.86,6.45,2.49,-0.01,3300
채지선,23  P,3.1,8.1,6.07,2.4,-0.02,3800
이승진,23  P,0.2,0.0,9.4,3.0,-0.02,8800
문성현,23  P,28.1,4.45,5.02,1.62,-0.02,7000
배재준,23  P,1.0,18.0,6.95,3.0,-0.02,7500
나원탁,23  P,0.2,40.5,22.6,6.0,-0.02,3400
오석주,23  P,10.0,6.3,4.41,1.5,-0.02,3700
박세웅,23  P,0.2,27.0,31.9,6.0,-0.03,3600
송윤준,23  P,4.1,8.31,3.55,1.38,-0.04,3500
박승주,23  P,18.0,3.5,5.67,1.78,-0.04,4500
한재승,23  P,9.2,4.66,5.33,1.45,-0.04,3200
박신지,23  P,26.0,5.54,4.53,1.92,-0.04,3600
정철원,23  P,72.2,3.96,4.63,1.35,-0.05,10000
류희운,23  P,4.0,11.25,5.87,2.0,-0.06,3300
김시현,23  P,3.0,12.0,12.18,2.67,-0.06,3700
김진욱,23  P,36.1,6.44,5.4,1.82,-0.07,5600
황동재,23  P,31.2,7.11,6.22,1.93,-0.07,4100
박준영,23  P,4.1,18.69,5.53,2.31,-0.08,6000
손주영,23  P,8.2,5.19,4.55,2.08,-0.08,4100
김대현,23  P,3.1,10.8,7.96,3.0,-0.08,6200
박윤철,23  P,3.1,21.6,14.89,3.0,-0.09,3400
최충연,23  P,9.1,4.82,8.85,1.82,-0.09,5500
이영준,23  P,1.2,21.6,5.71,3.0,-0.10,7000
김시훈,23  P,52.2,4.44,4.26,1.73,-0.10,9000
신정락,23  P,29.0,4.66,4.47,1.48,-0.10,7000
정성곤,23  P,4.1,10.38,12.62,3.46,-0.11,5500
고봉재,23  P,11.1,6.35,4.49,1.68,-0.11,3300
임준섭,23  P,32.2,5.79,4.12,1.93,-0.12,4000
배민서,23  P,6.2,6.75,3.74,1.8,-0.13,5100
남지민,23  P,37.2,6.45,3.8,1.78,-0.14,4300
김재영,23  P,8.0,10.13,6.81,1.88,-0.14,5300
변시원,23  P,2.1,42.43,14.78,4.29,-0.14,4000
윤산흠,23  P,3.0,6.0,7.55,3.0,-0.14,4800
이채호,23  P,24.2,6.93,7.44,1.42,-0.14,6000
허윤동,23  P,10.2,10.13,5.46,2.63,-0.15,5400
김태오,23  P,7.1,7.36,4.09,1.91,-0.18,3500
