이름,연도,이닝,ERA,FIP,WHIP,war,연봉
류진욱,23  P,67.0,2.15,3.24,1.09,2.36,7500
주현상,23  P,59.2,1.96,3.25,0.84,2.21,5800
박영현,23  P,75.1,2.75,2.65,1.14,1.98,6100
태너,23  P,64.2,2.92,3.81,1.1,1.94,15000
김동주,23  P,78.1,4.14,4.27,1.38,1.81,3100
김상수,23  P,52.0,3.12,3.78,1.27,1.58,11000
최준용,23  P,47.2,2.45,3.42,1.43,1.55,15800
전상현,23  P,58.2,2.15,3.3,1.3,1.44,13500
손동현,23  P,73.2,3.42,4.23,1.19,1.30,5000
임창민,23  P,46.2,2.51,3.6,1.46,1.26,10000
윤대경,23  P,47.2,2.45,5.01,1.15,1.08,9000
김영규,23  P,61.2,3.06,3.5,1.1,1.06,14000
심재민,23  P,47.2,3.78,4.0,1.57,1.03,8300
김명신,23  P,79.0,3.65,3.42,1.25,0.95,14500
최성영,23  P,66.2,4.86,5.22,1.64,0.94,7200
김성진,23  P,47.0,3.64,4.74,1.47,0.84,4500
고효준,23  P,58.0,4.5,4.03,1.57,0.78,8500
김기중,23  P,56.1,4.63,4.69,1.54,0.67,3600
이승현,23  P,60.0,3.6,3.81,1.38,0.55,12000
이상동,23  P,40.2,3.98,3.44,1.48,0.55,3200
최동환,23  P,42.1,3.19,4.41,1.39,0.52,10500
박치국,23  P,52.2,3.59,3.49,1.42,0.50,10500
이용준,23  P,67.0,4.3,5.0,1.55,0.36,3500
김대우,23  P,64.0,4.5,4.4,1.38,0.29,7000
이재익,23  P,41.0,3.95,4.27,1.54,0.29,5700
최민준,23  P,60.0,4.2,4.68,1.57,0.28,13000
임정호,23  P,50.0,4.68,3.42,1.36,0.18,9000
이지강,23  P,68.0,3.97,4.84,1.29,0.17,3600
하준영,23  P,49.0,4.59,3.65,1.45,0.16,7500
이명종,23  P,57.0,5.21,5.38,1.58,0.14,4500
맥키니,23  P,59.1,6.52,6.14,1.63,0.11,10000
이승현,23  P,43.1,4.98,5.51,1.62,0.05,12000
정철원,23  P,72.2,3.96,4.63,1.35,-0.05,10000
김시훈,23  P,52.2,4.44,4.26,1.73,-0.10,9000
이로운,23  P,57.2,5.62,4.65,1.66,-0.15,3000
모리만도,22  P,75.1,1.67,2.99,1.06,3.07,18000
김재웅,22  P,62.2,2.01,3.84,1.09,2.74,10400
김민수,22  P,80.2,1.9,2.1,1.0,2.53,6200
구승민,22  P,62.0,2.9,2.91,1.31,1.89,18100
김태경,22  P,44.1,3.25,4.93,1.29,1.45,3300
최준용,22  P,71.0,4.06,3.69,1.17,1.28,10700
김영규,22  P,66.0,3.41,4.16,1.18,1.27,9500
이준영,22  P,46.1,2.91,3.89,1.45,1.22,6700
정해영,22  P,56.0,3.38,3.44,1.29,1.17,17000
이우찬,22  P,44.2,1.81,3.42,1.12,1.13,5000
전상현,22  P,46.1,3.3,2.37,1.25,0.96,11000
김도규,22  P,51.0,3.71,3.38,1.31,0.96,5700
김명신,22  P,79.2,3.62,3.71,1.26,0.93,10000
문성현,22  P,41.1,3.27,3.84,1.16,0.87,3500
김진성,22  P,58.0,3.1,3.76,1.14,0.86,10000
서진용,22  P,67.1,4.01,4.33,1.49,0.78,18500
이승현,22  P,50.0,4.68,4.51,1.4,0.59,10000
김태훈,22  P,43.0,3.14,4.15,1.4,0.41,15000
이승현,22  P,47.2,4.53,3.47,1.34,0.41,10000
김택형,22  P,60.1,4.92,4.03,1.31,0.38,12500
심재민,22  P,43.1,3.74,4.82,1.32,0.33,8200
김진욱,22  P,46.2,6.36,4.55,1.67,0.31,5100
최민준,22  P,68.1,3.95,5.4,1.24,0.26,6500
이정용,22  P,59.1,3.34,3.75,1.2,0.24,14000
허윤동,22  P,55.0,6.55,6.13,1.78,0.23,4700
최동환,22  P,50.0,4.14,4.59,1.24,0.22,6000
강재민,22  P,51.1,4.21,5.08,1.42,0.22,15000
장지훈,22  P,55.0,4.25,4.37,1.22,0.10,10500
한승혁,22  P,80.1,5.27,4.0,1.74,0.07,5300
윤중현,22  P,53.2,5.03,4.51,1.43,-0.07,6500
윤호솔,22  P,42.1,4.04,4.37,1.68,-0.09,6350
류진욱,22  P,46.1,4.86,4.64,1.71,-0.11,7500
문경찬,22  P,40.1,5.8,4.63,1.59,-0.13,9000
남지민,22  P,89.0,6.37,5.51,1.73,-0.16,3300
정해영,21  P,65.1,2.2,4.27,1.18,2.56,7000
고우석,21  P,58.0,2.17,2.63,1.21,2.52,18000
정우영,21  P,65.0,2.22,3.76,1.06,2.49,18000
홍건희,21  P,74.1,2.78,2.62,1.24,2.39,11000
김재윤,21  P,67.0,2.42,3.24,1.21,2.25,17000
최준용,21  P,47.1,2.85,3.95,1.2,2.12,4200
김대유,21  P,50.2,2.13,2.94,0.93,1.93,4000
김강률,21  P,51.2,2.09,3.68,1.53,1.81,11000
강재민,21  P,63.1,2.13,3.39,1.22,1.79,7900
윤대경,21  P,77.2,3.94,4.81,1.38,1.39,7700
구승민,21  P,62.1,4.33,3.86,1.25,1.38,15000
장지훈,21  P,80.1,3.92,3.96,1.28,1.33,4200
이정용,21  P,69.2,2.97,2.82,1.12,1.31,5000
서진용,21  P,67.1,3.34,4.85,1.49,1.27,17000
이승진,21  P,48.1,3.91,5.11,1.49,1.19,10000
심재민,21  P,46.2,2.89,3.58,1.11,1.13,6300
홍성민,21  P,41.1,3.92,4.03,1.57,1.07,11000
