이름,연도,이닝,ERA,FIP,WHIP,war,연봉
페디,23  P,180.1,2.0,2.22,0.95,7.95,80000
후라도,23  P,183.2,2.65,3.15,1.12,7.12,85000
안우진,23  P,150.2,2.39,2.33,1.06,6.86,35000
뷰캐넌,23  P,188.0,2.54,3.05,1.15,6.31,110000
고영표,23  P,174.2,2.78,3.19,1.15,5.91,43000
알칸타라,23  P,192.0,2.67,3.38,1.07,5.79,50000
반즈,23  P,170.1,3.28,3.4,1.33,5.74,85000
박세웅,23  P,154.0,3.45,3.62,1.32,4.63,3600
플럿코,23  P,123.1,2.41,3.14,1.18,4.58,80000
쿠에바스,23  P,114.1,2.6,2.78,1.04,4.57,45000
김광현,23  P,168.1,3.53,4.19,1.38,4.48,100000
원태인,23  P,150.0,3.24,4.17,1.27,4.48,35000
곽빈,23  P,127.1,2.9,3.96,1.21,4.36,14000
페냐,23  P,177.1,3.6,4.06,1.17,4.20,55000
브랜든,23  P,104.2,2.49,3.16,1.05,3.61,23000
엘리아스,23  P,131.1,3.7,4.09,1.32,3.54,54000
양현종,23  P,171.0,3.58,3.7,1.34,3.54,50000
켈리,23  P,178.2,3.83,3.49,1.24,3.41,105000
임찬규,23  P,144.2,3.42,4.16,1.35,3.40,17000
나균안,23  P,130.1,3.8,3.51,1.4,3.40,10900
맥카티,23  P,130.0,3.39,3.63,1.3,3.38,60000
최원태,23  P,146.2,4.3,3.89,1.33,3.20,35000
백정현,23  P,100.2,3.67,3.91,1.29,3.09,40000
문동주,23  P,118.2,3.72,3.65,1.31,2.96,3300
엄상백,23  P,111.2,3.63,3.36,1.16,2.91,20000
벤자민,23  P,160.0,3.54,3.14,1.21,2.90,100000
이의리,23  P,131.2,3.96,3.63,1.49,2.78,15000
수아레즈,23  P,108.0,3.92,3.12,1.49,2.52,90000
산체스,23  P,126.0,3.79,3.92,1.3,2.51,25000
윤영철,23  P,122.2,4.04,4.55,1.4,2.27,3000
배제성,23  P,130.1,4.49,4.76,1.7,1.95,20000
최승용,23  P,111.0,3.97,4.03,1.35,1.94,6000
신민혁,23  P,122.0,3.98,4.01,1.2,1.91,13500
와이드너,23  P,115.0,4.54,3.66,1.32,1.71,59800
오원석,23  P,144.2,5.23,4.9,1.57,1.64,14000
이태양,23  P,100.1,3.23,3.6,1.21,1.44,66000
최원준,23  P,107.2,4.93,4.57,1.37,1.23,22000
한현희,23  P,104.0,5.45,4.97,1.61,0.95,20000
송명기,23  P,104.1,4.83,5.38,1.47,0.86,13000
문승원,23  P,105.0,5.23,4.84,1.65,0.78,70000
안우진,22  P,196.0,2.11,2.09,0.95,8.45,15000
수아레즈,22  P,173.2,2.49,2.94,1.16,6.65,70000
